,mol_name,SMILES,PLANET_affinity
0,,N#CC(C#N)=C1NCCN1CCNCc1ccc(CN2CCCC2)o1,5.5977864
1,,CC[NH+](CC)CCCN(C)C(=O)c1sc(Cc2ccc(F)cc2)nc1C,6.38186
2,,CC[C@H]([NH3+])Cc1cccc(Br)c1OCCOC(C)C,4.949979
3,,CC[C@H](C)OC(=O)C[C@@H]1C(=O)NCCN1C(=S)NC(=O)c1cc(Br)ccc1OCC(C)C,5.9026556
4,,C[C@@H]1CN(c2ccc(C[NH2+]Cc3cn(C)c(=O)n(C)c3=O)cc2F)C[C@H](C)O1,6.9412775
5,,CCC[NH2+][C@@H](CCN(CC[NH+](C)C)CC(C)C)C(C)(C)C,3.09422
6,,Cc1oc(-c2cccs2)nc1C(=O)N1C[C@H](C)O[C@@H](C)C1,3.3449597
7,,CCOc1ccc(OC[C@H](O)C[NH2+]C[C@H](C2=c3ccccc3=[NH+]C2)c2ccccc2Cl)cc1,7.817262
8,,CCOCC[n+]1ccc(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)cc1,5.7196727
9,,CN1CCC=C(c2nsnc2OCCCOCCC(=O)NCCCCNc2c3c(nc4ccccc24)CCCC3)C1,6.9060907
10,,CCOc1ccc(-n2c(SCCN3C(=O)c4ccccc4C3=O)nnc2C2=c3ccccc3=[NH+]C2)cc1,7.965895
11,,Oc1c(CNCCCCCCCCCNc2c3c(nc4ccccc24)CCCC3)cc(Cl)c2cccnc12,8.211624
12,,O=C(NCC[NH+]1CCCC1)c1coc(COc2ccc3c(c2)[C@H](c2cccc(F)c2)N(C(=O)C2CC2)CC3)n1,8.256787
13,,O=C(NCCC1=c2ccccc2=[NH+]C1)c1cc(S(=O)(=O)NCc2ccco2)c(Cl)cc1Cl,7.2797565
14,,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3ccc(=O)oc3c2)c1,6.770627
15,,c1ccc2/c(=N/CCCCCCCC/N=c3/c4ccccc4nc4n3CCCC4)n3c(nc2c1)CCCC3,6.518398
16,,COc1cc(C(=O)NCCC(=O)NNc2c3c(nc4ccccc24)CCCC3)cc(OC)c1OC,6.2794366
17,,COc1cc2cc(C(=O)CCc3cc[n+](Cc4ccc(F)cc4)cc3)sc2cc1OC,6.334626
18,,c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCC4)c3c(nc2c1)CCC3,7.427346
19,,C[NH+](C)CCNC(=O)[C@H]1CCCN(c2ccc(-c3noc(-c4cccs4)n3)cc2F)C1,8.677062
20,,Clc1cc2c(c(CN3CC[NH+](Cc4ccsc4)CC3)c1)OCOC2,8.042427
21,,c1ccc(CN2CCC(CNc3nsc4ccccc34)CC2)cc1,6.381586
22,,C[C@H](Cc1ccccc1F)NC(=O)[C@H]1CN(C(=O)c2ccc(Oc3ccccc3)nc2)CC12CC[NH2+]CC2,8.803299
23,,CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,7.0871515
24,,CCN(CC)CCCCCOc1ccc2c(c1)CC/C(=C\c1ccc(CN(C)Cc3ccccc3)cc1)C2=O,8.534515
25,,CCn1cc[nH+]c1CN1CCC2=c3ccccc3=[NH+][C@H]2[C@@H]1C1CCCCC1,7.2316294
26,,CCC[C@]12CN3C[C@](CCC)(C[NH+](C1)[C@H]3c1cc3ccccc3n1C)C2O,3.7126606
27,,Cc1occc1-c1nnc(SCC[NH2+]CCO)n1-c1ccccc1,6.3401394
28,,COc1cc(-c2cc3c(c(=O)o2)C[C@]2(O)[C@@]4(C)C(=O)C=C[C@@](C)(CO)[C@]4(O)CC[C@@]2(C)O3)cc(OC)c1OC,0.85015774
29,,CC(C)[C@H]([NH2+][C@@H](C)c1nc2scc(-c3ccco3)c2c(=O)[nH]1)c1ccccc1,5.507596
30,,COc1c(C(=O)N2C[C@@H](C(=O)NC[C@@H](c3cccnc3)[NH+]3CCCC3)C3(CC[NH2+]CC3)C2)csc1Cl,9.527402
31,,Nc1c2c(nc3ccccc13)CCC2,2.6689255
32,,C[NH+](C[C@@H]1C[C@@H](C(C)(C)C)CCC1=O)[C@@H]1CCSC1,1.6415412
33,,O=C(Nc1ccc2c(c1)C(=O)N(CCC1CCN(Cc3ccccc3)CC1)C2=O)c1ccccc1,8.607602
34,,COc1cc2c(cc1OC)C(=O)C(Oc1ccc(C(=O)CCN3CCCC3)cc1)C2,7.1949406
35,,CCCC[NH+](CC(=O)NCCC(C)(C)C)[C@H]1CCS(=O)(=O)C1,4.5441585
36,,CN1CC[C@@]2(C)c3cc(OC(=O)Nc4cccc5ccccc45)ccc3N(C)[C@@H]12,5.99452
37,,O=C(NCCSCc1ccccc1)[C@@H]1CN(C(=O)c2c(Cl)cccc2Cl)CC12CC[NH2+]CC2,8.216574
38,,CCOC(=O)N1CC[NH+]([C@H]2CCCN(C(=O)c3ccc(COC)o3)C2)CC1,4.611631
39,,Cc1ccc2ccc(CNCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c(O)c2n1,7.528028
40,,COc1cc2c(cc1OC)SC(C(=O)CCc1cc[n+](CC3CCC3)cc1)C2,6.439718
41,,CC[C@H]([NH3+])[C@H](c1ccc(Br)s1)N1CC[C@H]([NH+](CC)CC)C1,1.6909783
42,,CN(CCCNCc1ccc2cccnc2c1O)CCCNc1c2c(nc3ccccc13)CCCC2,7.646435
43,,CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(c2)C/C(=C\c2cc(O)c(O)c(O)c2)C3=O)c1,8.1382675
44,,C[C@@H]1CCC[C@H](C)N1S(C)(=O)=O,1.0372746
45,,O=C(NC(=S)NCCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)OCO2,6.8133564
46,,c1ccc(CN2CCC(CCNc3cc4c(nn3)-c3ccccc3CCC4)CC2)cc1,8.043777
47,,CNC(=O)Oc1cccc(CN(C)CCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,7.0233154
48,,N[C@@H](CCC(=O)NCCNc1c2c(nc3ccccc13)CCCC2)C(=O)NCCNc1c2c(nc3ccccc13)CCCC2,7.455389
49,,c1ccc2c(NCCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3,8.315845
50,,O=C(NCc1ccccc1)c1ccc2c(c1)C(=O)N(CCC1CCN(Cc3ccccc3)CC1)C2=O,8.783319
51,,CN1CCc2c(n(CCCCCCCCCn3c4c(c5ccccc53)CCN(C)C4)c3ccccc23)C1,9.264626
52,,COc1ccc(-c2cc3c(c(=O)o2)C[C@@]2(O)[C@@]4(C)CCC(=O)C(C)(C)[C@@]4(O)CC[C@@]2(C)O3)cc1,0.8080494
53,,COc1cc(NC(=O)C(C)(C)C)c(C(=O)OCC(=O)Nc2ccccc2SCC#N)cc1OC,6.477433
54,,C[C@@H](NC(=O)CSc1nc(Cl)cc(N2CC[NH+](C/C=C/c3ccccc3)CC2)n1)c1ccccc1,8.70248
55,,CN(CCOCCNC(=S)NC(=O)c1ccc2c(c1)C(=O)c1ccccc1-2)Cc1ccccc1,5.1557045
56,,Cc1ccc(S(=O)(=O)NC[C@H]2C[C@H]3CC[NH+]2C[C@@H]3C[NH+]2CCN(c3ccc(F)cc3)CC2)cc1,6.730669
57,,Cc1ccc(CN(CC[NH+](C)C)C(=O)CCn2c(=O)oc3ccccc32)o1,3.427944
58,,CC1Cc2cc3c(cc2C1=O)OCO3,1.6799401
59,,S=C1[NH+]=N[C@H](c2cccc(Cl)c2)N1/N=C/c1ccc(-c2ccccc2)cc1,4.9668694
60,,CC[NH+](CC)CCC[C@H](C)[NH2+]Cc1ccc(F)cc1Br,5.7394824
61,,CCOC(=O)O[C@H](C)OC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@@H]([NH3+])c3ccccc3)[C@H]2SC1(C)C,1.105639
62,,Cc1ccc2c(c1)=[NH+][C@H](/C(C#N)=C/[C@H]1CN(Cc3ccccc3C#N)c3ccccc31)[NH+]=2,7.377918
63,,CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(c2)OC/C(=C/c2cc(O)c(O)c(O)c2)C3=O)c1,8.598431
64,,C[N+]1(CC(=O)Nc2ccc3c(c2)C(=O)c2cccc4ccnc-3c24)CCCC1,6.4698887
65,,C[NH+](C)Cc1ccn2c(-c3ccnc(NCc4cccc(Cl)c4)n3)c(-c3ccc(F)cc3)nc2c1,8.955636
66,,CCc1ccc([C@H](CNC(=O)Nc2ccccc2S(C)(=O)=O)[NH+](C)C)cc1,7.0523596
67,,CC(C)[C@@H]([NH2+]CC1(c2cccc(F)c2)CCOCC1)C(=O)NC(C)(C)C,5.9229536
68,,O=C(CO/N=[N+](\[O-])N1CCCC1)NCCCNc1c2c(nc3ccccc13)CCCC2,5.723692
69,,CC[C@H](C)N(Cc1c(C)nn(-c2ccccc2)c1N1CC[NH+](CC)CC1)C(=O)c1cc(OC)cc(OC)c1,4.080721
70,,COCC[NH+](Cc1nc2scc(-c3ccc(C)cc3C)c2c(=O)[nH]1)C[C@@H](O)COCc1ccco1,6.7633877
71,,COc1cc2c(cc1OC)CC(CC1CCN(CCNc3c4c(nc5cc(Cl)ccc35)CCCC4)CC1)C2,8.918647
72,,Cc1cc2c(cc1C)=[NH+]C(=O)[C@@H]([C@@H]([C@@H]1N=NNN1C1CCCC1)[NH+](Cc1ccccc1)Cc1ccco1)C=2,8.459379
73,,CC(C)COc1ccc(CN2C(=O)CS/C2=N\N=C\c2cccc([N+](=O)[O-])c2)cc1,4.241818
74,,C[C@@H](OC(=O)C1CCN(c2ccc(C(F)(F)F)c[nH+]2)CC1)C(=O)Nc1ccccc1-c1ccccc1,5.1637297
75,,C[C@H]1C[C@@H]([NH2+][C@H]2CCC[C@@H](C)[C@H]2C)CC(C)(C)C1,1.5066323
76,,C[C@@H]1CC[C@H]2[C@@H](CCC[NH+]2Cn2ncsc2=S)C1,0.63083047
77,,CC(=O)Nc1ccc(S(=O)(=O)NCCC[NH+]2CCN(Cc3c(F)cccc3Cl)CC2)cc1Cl,8.261626
78,,COc1ccc(S(=O)(=O)CCCC(=O)N(CCC[NH+](C)C)c2nc3c(C)ccc(Cl)c3s2)cc1,6.254158
79,,COC(=O)c1ccc2c(c1)c(C[NH2+]CC(C)C)cn2C[C@@H](c1ccccc1O)S(=O)(=O)C(C)C,6.9685373
80,,CC[C@H](C)c1ccccc1NC(=O)[C@H](C)OC(=O)CSc1nnc(-c2cccs2)n1CC,5.488884
81,,C[C@H](OC(=O)c1ccc(NS(=O)(=O)c2ccc3c(c2)=[NH+]C(=O)[NH+]=3)cc1)C(=O)NC1CCCCC1,7.2512174
82,,Cc1ccc2c(c1)=[NH+][C@H](SCC(=O)NC[C@@H]1Cc3cc(Cl)cc(-c4cnccn4)c3O1)[NH+]=2,7.0017977
83,,C[C@H]([C@@H](Cl)c1ccccc1)[n+]1c(-c2ccccc2)cc(-c2ccccc2)cc1-c1ccccc1,5.233611
84,,CN1CCC=C(c2nsnc2OCCCOCC(=O)NCCCNc2c3c(nc4ccccc24)CCCC3)C1,6.4595213
85,,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)CCN2c1ccccc1,8.201918
86,,COc1ccc(Nc2scc(-c3ccc(C)cc3)[n+]2C[C@@H]2CCCO2)cc1,5.2267923
87,,C/C=C1\C2C=C(C)C[C@]1(C(=O)OC)CC(NCCCCCCCNc1c3c(nc4ccccc14)CCCC3)C2,8.626189
88,,O=C(CC[C@H]1N=C(O)N(CCC2=c3ccccc3=[NH+]C2)C1=O)Nc1ccc(Oc2ccccc2)cc1,5.197055
89,,CC(=O)c1ccccc1OC[C@@H](O)C[NH+](Cc1ccccc1Cl)[C@@H]1CCS(=O)(=O)C1,6.877314
90,,COc1cccc(C(=O)NC[C@@H](C2=c3ccccc3=[NH+]C2)c2ccccc2Cl)c1OC,6.9732513
91,,O=C(C1=c2ccccc2=[NH+]C1)[C@@H](c1ccccc1)N1CCN([C@@H]2CCS(=O)(=O)C2)CC1,7.822443
92,,C[C@@H](S[C@@H]1NN=C(C[C@@H]2CCS(=O)(=O)C2)O1)C(=O)C1=c2ccccc2=[NH+]C1,5.311215
93,,CN1CC[C@@]2(C)c3cc(OC(=O)NCCCCCCCCCCCN4CCOCC4)ccc3N(C)[C@@H]12,6.622957
94,,C[C@@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccc(C[NH+](C)C)cc1Cl,7.372317
95,,CN1CCC(CCCC2Cc3ccccc3C2=O)CC1,6.2714567
96,,CC[C@@H]1CCCC[NH+]1CCCN1C(=O)c2cc3ccccc3n2C[C@@]1(C)C(=O)NC1CCCCC1,5.5703473
