,mol_name,SMILES,PLANET_affinity
0,NS(=O)(=O)c2cc1C(=O)CCSc1s2,NS(=O)(=O)c1cc2c(s1)SCCC2=O,4.855359
1,NS(=O)(=O)c3ccc(CC/N=C/c1ccccc1OC(=O)NS(=O)(=O)c2ccccc2)cc3,NS(=O)(=O)c1ccc(CC/N=C/c2ccccc2OC(=O)NS(=O)(=O)c2ccccc2)cc1,7.8132544
2,C[C@H](CCC(=O)NCc1ccc(S(N)(=O)=O)cc1)[C@H]3CC[C@H]2C5[C@H](CC(=O)[C@@]23C)[C@@]4(C)CCC(=O)C[C@H]4CC5=O,C[C@H](CCC(=O)NCc1ccc(S(N)(=O)=O)cc1)[C@H]1CC[C@H]2C3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C,8.861016
3,CO[C@H]3O[C@H](Cn2cc(CNC(=O)c1ccc(S(N)(=O)=O)cc1)nn2)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O,CO[C@H]1O[C@H](Cn2cc(CNC(=O)c3ccc(S(N)(=O)=O)cc3)nn2)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,5.3594294
4,NS(=O)(=O)NC2C1CC3CC(C1)CC2C3,NS(=O)(=O)NC1C2CC3CC(C2)CC1C3,5.704989
5,NS(=O)(=O)c2ccc(C(=O)NCC(=O)NCC(=O)NCC(=O)NC(Cc1ccc(Cl)cc1)C(O)=O)cc2,NS(=O)(=O)c1ccc(C(=O)NCC(=O)NCC(=O)NCC(=O)NC(Cc2ccc(Cl)cc2)C(=O)O)cc1,7.663772
6,C[C@H](CCC(=O)OCc1ccc(S(N)(=O)=O)cc1)[C@H]3CC[C@H]2C5[C@H](CC(=O)[C@@]23C)[C@@]4(C)CCC(=O)C[C@H]4CC5=O,C[C@H](CCC(=O)OCc1ccc(S(N)(=O)=O)cc1)[C@H]1CC[C@H]2C3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C,8.735144
7,NS(=O)(=O)c3nnc(n2c(=O)c1cccnc1c2=O)s3,NS(=O)(=O)c1nnc(N2C(=O)c3cccnc3C2=O)s1,7.3286495
8,NS(=O)(=O)c2ccc(NNS(=O)(=O)c1c(F)c(F)c(F)c(F)c1F)cc2,NS(=O)(=O)c1ccc(NNS(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)cc1,8.2877655
9,NS(=O)(=O)OCCOc2ccc(n1ccnc1)cc2,NS(=O)(=O)OCCOc1ccc(-n2ccnc2)cc1,6.56637
10,CC3CCN(N(CCCC(=O)Nc1ccc(S(N)(=O)=O)cc1)N2CCC(C)CC2)CC3,CC1CCN(N(CCCC(=O)Nc2ccc(S(N)(=O)=O)cc2)N2CCC(C)CC2)CC1,7.9401073
11,C[C@@]34CCC1C(CCc2cc(OS(N)(=O)=O)ccc12)C3CCC4=O,C[C@@]12CCC3c4ccc(OS(N)(=O)=O)cc4CCC3C1CCC2=O,6.8067293
12,NS(=O)(=O)c2nnc(NC(=O)CCNC(=O)c1c(F)c(F)c(F)c(F)c1F)s2,NS(=O)(=O)c1nnc(NC(=O)CCNC(=O)c2c(F)c(F)c(F)c(F)c2F)s1,7.3129964
13,NS(=O)(=O)c3ccc(NNCc1cc(=O)oc2cc(Cl)ccc12)cc3,NS(=O)(=O)c1ccc(NNCc2cc(=O)oc3cc(Cl)ccc23)cc1,8.04837
14,NS(=O)(=O)c2ccc(CCNC(=O)CCCNc1ccn(O)c(=O)n1)cc2,NS(=O)(=O)c1ccc(CCNC(=O)CCCNc2ccn(O)c(=O)n2)cc1,6.9668612
15,NS(=O)(=O)c3nnc(NS(=O)(=O)c2ccc(NC(/S)=N/c1ccccc1F)cc2)s3,NS(=O)(=O)c1nnc(NS(=O)(=O)c2ccc(N/C(S)=N/c3ccccc3F)cc2)s1,5.7940097
16,CCOC(=O)c3c(C(=O)Nc1nnc(S(N)(=O)=O)s1)nn(c2cccc(N)c2)c3c4ccccc4,CCOC(=O)c1c(C(=O)Nc2nnc(S(N)(=O)=O)s2)nn(-c2cccc(N)c2)c1-c1ccccc1,6.580839
17,CC4(C)O[C@H]3[C@@H]2OC1(CCCC1)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)O4,CC1(C)O[C@H]2[C@@H]3OC4(CCCC4)O[C@@H]3CO[C@@]2(COS(N)(=O)=O)O1,6.4142833
