,mol_name,SMILES,PLANET_affinity
0,ACTIVE_0033,NS(=O)(=O)c1ccc(CCNC(=O)CN(CC(=O)[O-])S(=O)(=O)c2ccc(-c3ccccc3)cc2)cc1,8.356053
1,ACTIVE_0002,NS(=O)(=O)c1ccc(CCNC(=O)Cc2ccccc2)cc1,5.5953727
2,ACTIVE_0003,NS(=O)(=O)c1ccc(C(=O)NCCC(=O)N[C@@H](Cc2c[nH+]c[nH]2)C(=O)[O-])cc1,5.7512527
3,ACTIVE_0004,NS(=O)(=O)c1nnc(NC(=O)CCNS(=O)(=O)c2c(F)c(F)c(F)c(F)c2F)s1,8.637878
4,ACTIVE_0005,NS(=O)(=O)c1ccc(C(=O)NCC2CCCCC2)cc1,5.3226194
5,ACTIVE_0006,C[C@H]1CC[N@H+](CCC(=O)Nc2ccc(S(N)(=O)=O)cc2)CC1,6.009199
6,ACTIVE_0007,COCC[NH+](CCOC)Cc1cc2cc(S(N)(=O)=O)sc2s1,5.408248
7,ACTIVE_0008,NS(=O)(=O)c1nc2ccc(OC(=O)CN(CCN(CC(=O)[O-])c3ccccc3O)c3ccccc3O)cc2s1,4.3093214
8,ACTIVE_0037,NS(=O)(=O)c1ccc(NC(=O)Cc2cccs2)cc1,6.0674214
9,ACTIVE_0010,NS(=O)(=O)c1ccc([N-]S(=O)(=O)c2ccc([N-]S(=O)(=O)c3c(F)c(F)c(F)c(F)c3F)cc2)cc1,10.073598
10,ACTIVE_0011,Cn1nc(S(N)(=O)=O)s/c1=N/C(=O)CCSSCCC(=O)Nc1sc(S([NH-])(=O)=O)[nH+][n+]1C,5.4907765
11,ACTIVE_0012,N[C@@H](Cc1ccccc1)C(=O)NCCOCCOCCNC(=O)c1ccc(S(N)(=O)=O)cc1,3.9185479
12,ACTIVE_0013,NS(=O)(=O)c1nnc(NC(=O)CC[NH2+]Cc2cc(=O)oc3cc(Cl)ccc23)s1,9.032944
13,ACTIVE_0014,Cc1cc(=O)oc2cc(OS(N)(=O)=O)ccc12,5.662945
14,ACTIVE_0015,NS(=O)(=O)c1ccc(CC/[NH+]=C/c2ccccc2F)cc1,5.9184136
15,ACTIVE_0016,NS(=O)(=O)c1ccc(NC(=S)/N=C2/C=CC(=C3c4ccc(O)cc4Oc4cc(O)ccc43)C(C(=O)[O-])=C2)c(F)c1,8.688603
